aibaixu	æːbɪːx
aibalǰaxu	æːbɑlʤɪx
aiburlaxu	æːbɑrlɑx
aixu	æːx
aigudxaxu	æːɡʊːtɡɑx
aimaxu	æːmɑx
aimaglaxu	æːmɑɡlɑx
aimagčilaxu	æːmɑɡʧlɑx
aimasxu	æːmsɑx
aimurxu	æːmrɑx
aimurlaxu	æːmɑrlɑx
ailadxaxu	æːltɡɑx
ailadxu	æːldɑx
ailuglaxu	æːlɑɡlɑx
ailgaxu	æːlɡɑx
ailsaxu	æːlsɑx
ailsixu	æːlʃɪx
ailčilaxu	æːlʧlɑx
aisuxu	æːsɑx
aidaŋguilaxu	æːdɑŋɡʊɪlɑx
aidaŋguiraxu	æːdɑŋɡʊɪrɑx
aidaŋgulaxu	æːdɑŋɡɑlɑx~æːdɑŋɡʊːlɑx
aidaŋguraxu	æːdɑŋɡɑrɑx~æːdɑŋɡʊːrɑx
aidarlaxu	æːdɑrlɑx
aiǰagalaxu	æːʤɑːlɑx
aiǰamlaxu	æːʤɪmlɑx
airaglaxu	æːrɑɡlɑx
airaglagulxu	æːrɑɡlʊːlɑx
airagsixu	æːrɑɡʃɪx
airalǰilaxu	æːrɑlʤlɑx
aü't'omat'čilaxu	ɑʊtmɑːtʧɪlɑx
aü't'očilaxu	ɑʊtʧɪlɑx
anaxu	ɑnɑx
anagaxu	ɑnɡɑːx
aniixu	ænɪːx
aniilgaxu	ænɪːlɡɑx
anibalǰaxu	ænbɑlʤɪx
anibasxixü	ænbɑsxiːx
anibxixü	ænɪbxiːx
anibčixu	ænɪbʧɪx
anibčilaxu	ænɪbʧlɑx
anixu	ænɪx
aniganaxu	ænɡɑnɑx
anigulxu	ænɪʊlɑx
anilxilaxu	ænɪlxiːləx
anilduxu	ænɪldɑx
anilǰaxu	ænɪlʤɪx
anirlaxu	ænɪrlɑx
anirsixu	ænɪrʃɪx
anirtuxu	ænɪrtɑx
andaixu	ɑndɪːx
andaxu	ɑndɑx
andagailaxu	ɑndɡæːlɑx
andaganaxu	ɑndɡɑnɑx
andagarlaxu	ɑndɡɑrlɑx
andagulxu	ɑndʊːlɑx
andaguraxu	ɑndʊːrɑx
andalaxu	ɑndlɑx
andalǰaxu	ɑndɑlʤɪx
anduxu	ɑndɑx
andulduxu	ɑndɑldɑx
ančiixu	ɑnʧɪːx
ančilaxu	ɑnʧlɑx
anǰisudaxu	ɑnʤɪsdɑx
anǰulaxu	ɑnʤlɑx
aŋnaxu	ɑɡnɑx
aŋxarugulxu	ɑŋxɑːrʊːlɑx
aŋxarxu	ɑŋxɑːrɑx
aŋxilxu	æŋxlɑx
aŋxuixu	ɑŋxɪːx
aŋgaixu	ɑŋɡæːx
aŋgailgaxu	ɑŋɡæːlɡɑx
aŋgabalǰaxu	ɑŋɡɑbɑlʤɪx
aŋgaxu	ɑŋɡɑx
aŋgaganaxu	ɑŋɡɑɡɑnɑx
aŋgalaxu	ɑŋɡɑlɑx
aŋgalǰaxu	ɑŋɡɑlʤɪx
aŋgaraituxu	ɑŋɡɑræːtɑx
aŋgilaxu	æŋɡɪlɑx
aŋgidxu	æŋɡɪdɑx
aŋgiǰiraxu	æŋɡɪʤrɑx
aŋgiǰiragulxu	æŋɡɪʤrʊːlɑx
aŋgirsixu	æŋɡɪrʃɪx
aŋgučilaxu	ɑŋɡʊːʧlɑx
