ᡄᡄᡅᡅᠪᡄᡅᡅᡍᡇ‌	aibaixu	æːbɪːx
ᡄᡄᡅᡅᠪᡄᠯᡔᡄᡍᡇ‌	aibalǰaxu	æːbɑ̆lʤɪx
ᡄᡄᡅᡅᠪᡆᠷᠯᡄᡍᡇ‌	aiburlaxu	æːbɑ̆rlɑ̆x
ᡄᡄᡅᡅᡍᡇ‌	aixu	æːx
ᡄᡄᡅᡅᡎᡆᡆᡄᡍᡄᡍᡇ‌	aigudxaxu	æːɡʊːtɡɑ̆x
ᡄᡄᡅᡅᡏᡄᡍᡇ‌	aimaxu	æːmɑ̆x
ᡄᡄᡅᡅᡏᡄᡍᠯᡄᡍᡇ‌	aimaglaxu	æːmɑ̆ɡlɑ̆x
ᡄᡄᡅᡅᡏᡄᡍᠴᡅᠯᡄᡍᡇ‌	aimagčilaxu	æːmɑ̆ɡʧlɑ̆x
ᡄᡄᡅᡅᡏᡄᠰᡍᡇ‌	aimasxu	æːmsɑ̆x
ᡄᡄᡅᡅᡏᡆᠷᡍᡇ‌	aimurxu	æːmrɑ̆x
ᡄᡄᡅᡅᡏᡆᠷᠯᡄᡍᡇ‌	aimurlaxu	æːmɑ̆rlɑ̆x
ᡄᡄᡅᡅᠯᡄᡆᡄᡍᡄᡍᡇ‌	ailadxaxu	æːltɡɑ̆x
ᡄᡄᡅᡅᠯᡄᡆᡄᡍᡇ‌	ailadxu	æːldɑ̆x
ᡄᡄᡅᡅᠯᡆᡍᠯᡄᡍᡇ‌	ailuglaxu	æːlɑ̆ɡlɑ̆x
ᡄᡄᡅᡅᠯᡎᡄᡍᡇ‌	ailgaxu	æːlɡɑ̆x
ᡄᡄᡅᡅᠯᠰᡄᡍᡇ‌	ailsaxu	æːlsɑ̆x
ᡄᡄᡅᡅᠯᠰᡅᡍᡇ‌	ailsixu	æːlʃɪx
ᡄᡄᡅᡅᠯᠴᡅᠯᡄᡍᡇ‌	ailčilaxu	æːlʧlɑ̆x
ᡄᡄᡅᡅᠰᡆᡍᡇ‌	aisuxu	æːsɑ̆x
ᡄᡄᡅᡅᡑᡄᡄᡘᡎᡆᡅᡅᠯᡄᡍᡇ‌	aidaŋguilaxu	æːdɑ̆ŋɡʊɪlɑ̆x
ᡄᡄᡅᡅᡑᡄᡄᡘᡎᡆᡅᡅᠷᡄᡍᡇ‌	aidaŋguiraxu	æːdɑ̆ŋɡʊɪrɑ̆x
ᡄᡄᡅᡅᡑᡄᡄᡘᡎᡆᠯᡄᡍᡇ‌	aidaŋgulaxu	æːdɑ̆ŋɡɑ̆lɑ̆x~æːdɑ̆ŋɡʊːlɑ̆x
ᡄᡄᡅᡅᡑᡄᡄᡘᡎᡆᠷᡄᡍᡇ‌	aidaŋguraxu	æːdɑ̆ŋɡɑ̆rɑ̆x~æːdɑ̆ŋɡʊːrɑ̆x
ᡄᡄᡅᡅᡑᡄᠷᠯᡄᡍᡇ‌	aidarlaxu	æːdɑ̆rlɑ̆x
ᡄᡄᡅᡅᡔᡄᡎᡄᠯᡄᡍᡇ‌	aiǰagalaxu	æːʤɑːlɑ̆x
